key,en,es
# App Identity
app_name,MindTrainer,MindTrainer
app_subtitle,Focus Training for Mental Clarity,Entrenamiento de Concentración para Claridad Mental

# Splash Screen
splash_loading,Loading...,Cargando...
splash_initializing,Initializing MindTrainer,Inicializando MindTrainer

# Start Screen
start_welcome,Welcome to MindTrainer,Bienvenido a MindTrainer
start_begin_journey,Begin Your Focus Journey,Comienza Tu Viaje de Concentración
start_first_session,Start Your First Session,Comienza Tu Primera Sesión
start_continue_training,Continue Training,Continuar Entrenamiento

# Session Flow
session_title,Focus Session,Sesión de Concentración
session_duration,Duration,Duración
session_quality_rating,How was your focus?,¿Cómo estuvo tu concentración?
session_notes_placeholder,Session notes (optional),Notas de sesión (opcional)
session_tags_placeholder,Add tags...,Agregar etiquetas...
session_save,Save Session,Guardar Sesión
session_discard,Discard,Descartar

# Quality Ratings
quality_excellent,Excellent,Excelente
quality_very_good,Very Good,Muy Bueno
quality_good,Good,Bueno
quality_fair,Fair,Regular
quality_poor,Poor,Pobre

# Coach System
coach_welcome,Hello! I'm your focus coach,¡Hola! Soy tu entrenador de concentración
coach_first_tip,Start with short 10-minute sessions,Comienza con sesiones cortas de 10 minutos
coach_streak_motivation,Great streak! Keep it going,¡Gran racha! Sigue así
coach_improvement_tip,Try focusing on your breathing,Intenta concentrarte en tu respiración
coach_goal_reminder,Don't forget your weekly goal,No olvides tu meta semanal

# Goals & Streaks
goal_weekly,Weekly Goal,Meta Semanal
goal_sessions_per_week,sessions per week,sesiones por semana
goal_current_progress,Current Progress,Progreso Actual
goal_completed,Goal Completed!,¡Meta Completada!
streak_daily,Daily Streak,Racha Diaria
streak_weekly,Weekly Streak,Racha Semanal
streak_days,days,días
streak_weeks,weeks,semanas

# Analytics & Insights
analytics_title,Analytics,Análisis
analytics_total_sessions,Total Sessions,Sesiones Totales
analytics_average_quality,Average Quality,Calidad Promedio
analytics_total_time,Total Time,Tiempo Total
analytics_best_streak,Best Streak,Mejor Racha
analytics_mood_correlation,Mood Correlation,Correlación del Estado de Ánimo
analytics_tag_performance,Tag Performance,Rendimiento de Etiquetas
analytics_keyword_analysis,Keyword Analysis,Análisis de Palabras Clave
analytics_unlimited_history,Unlimited History,Historial Ilimitado

# Pro Features
pro_title,MindTrainer Pro,MindTrainer Pro
pro_subtitle,Unlock Advanced Analytics,Desbloquea Análisis Avanzados
pro_monthly,Monthly,Mensual
pro_yearly,Yearly,Anual
pro_save_percent,Save 20%,Ahorra 20%
pro_free_trial,Start Free Trial,Iniciar Prueba Gratuita
pro_upgrade,Upgrade to Pro,Actualizar a Pro
pro_feature_mood_insights,Mood-Focus Correlations,Correlaciones Estado de Ánimo-Concentración
pro_feature_tag_analytics,Advanced Tag Analytics,Análisis Avanzado de Etiquetas
pro_feature_keyword_extraction,Session Keyword Analysis,Análisis de Palabras Clave de Sesión
pro_feature_unlimited_history,Complete Session History,Historial Completo de Sesiones
